NAME,JD,WD,AREA,FLAG,TAGONE,TAGONENAME,TAGTWO,TAGTWONAME,REGIONID
文林街,102.6995026,25.05017296,KunMing,1,14,餐饮服务,1400,餐饮,370
康师傅私房牛肉面馆店面－新建设分店,102.69738,25.05007,KunMing,3,14,餐饮服务,1400,餐饮,370
见面吧鲜面馆,102.69865,25.05171,KunMing,3,14,餐饮服务,1400,餐饮,370
大维饮品,102.69742,25.04983,KunMing,3,14,餐饮服务,1400,餐饮,370
福华园龙翔分店,102.69694,25.05058,KunMing,3,14,餐饮服务,1400,餐饮,370
印度菜菜,102.69861,25.05211,KunMing,3,14,餐饮服务,1400,餐饮,370
锅子楼总店,102.69866,25.05128,KunMing,3,14,餐饮服务,1400,餐饮,370
吗哪家常菜,102.69868,25.05112,KunMing,3,14,餐饮服务,1400,餐饮,370
兰州大胡子烤牛羊肉手拉面,102.69774,25.05067,KunMing,3,14,餐饮服务,1400,餐饮,370
恩熙家,102.69682,25.05122,KunMing,3,14,餐饮服务,1400,餐饮,370
润生活甜品馆,102.69723,25.05071,KunMing,3,14,餐饮服务,1400,餐饮,370
醇味,102.69981,25.05111,KunMing,3,14,餐饮服务,1400,餐饮,370
端仕小锅文林店,102.69912,25.05091,KunMing,3,14,餐饮服务,1400,餐饮,370
果麦ｄｅ鲜饮创作全国NO．518,102.69682,25.05127,KunMing,3,14,餐饮服务,1400,餐饮,370
阿姆甜品,102.6988,25.05085,KunMing,3,14,餐饮服务,1400,餐饮,370
胤,102.69931,25.05069,KunMing,3,14,餐饮服务,1400,餐饮,370
泰依莲东南亚风味餐厅,102.69861,25.05209,KunMing,3,14,餐饮服务,1400,餐饮,370
比比客橄榄油休闲餐厅,102.69735,25.05021,KunMing,3,14,餐饮服务,1400,餐饮,370
菩提树·傣,102.69863,25.05189,KunMing,3,14,餐饮服务,1400,餐饮,370
仙莱贝咖啡吧新建设师大附中连锁店,102.69702,25.05154,KunMing,3,14,餐饮服务,1400,餐饮,370
茶·蘼餐厅,102.69861,25.05205,KunMing,3,14,餐饮服务,1400,餐饮,370
义兴斋,102.69743,25.0498,KunMing,3,14,餐饮服务,1400,餐饮,370
稻香,102.7,25.0512,KunMing,3,14,餐饮服务,1400,餐饮,370
美时状态,102.69959,25.05077,KunMing,3,14,餐饮服务,1400,餐饮,370
九格,102.69886,25.05087,KunMing,3,14,餐饮服务,1400,餐饮,370
缘醉,102.69994,25.05131,KunMing,3,14,餐饮服务,1400,餐饮,370
酒逸,102.70013,25.05096,KunMing,3,14,餐饮服务,1400,餐饮,370
独家,102.69988,25.05086,KunMing,3,14,餐饮服务,1400,餐饮,370
文林酒楼,102.69827,25.05075,KunMing,3,14,餐饮服务,1400,餐饮,370
