NAME,JD,WD,AREA,FLAG,TAGONE,TAGONENAME,TAGTWO,TAGTWONAME,REGIONID
欣奕除疤金碧店,102.70479,25.03288,KunMing,3,10,医疗保健,1001,药店和养生保健场所,543
康复之家医疗器械云南店,102.706072,25.033001,KunMing,3,10,医疗保健,1000,医院等医疗中心,543
圣爱中医馆,102.707951,25.033645,KunMing,3,10,医疗保健,1000,医院等医疗中心,543
昆明医学院附属昆华医院,102.707707,25.032996,KunMing,3,10,医疗保健,1000,医院等医疗中心,543
老百姓大药房,102.705087,25.032886,KunMing,3,10,医疗保健,1001,药店和养生保健场所,543
丽声助听器中国NO．288,102.705964,25.032988,KunMing,3,10,医疗保健,1001,药店和养生保健场所,543
金环大药房,102.70624,25.032973,KunMing,3,10,医疗保健,1001,药店和养生保健场所,543
灵草堂,102.709184,25.032252,KunMing,3,10,医疗保健,1001,药店和养生保健场所,543
云南省第一人民医院－门诊部,102.707851,25.032722,KunMing,3,10,医疗保健,1000,医院等医疗中心,543
昆明理工大学附属医院,102.707707,25.032996,KunMing,3,10,医疗保健,1000,医院等医疗中心,543
